1622812922061012480,-0.00035,-0.00021,0.00030,0.99985,-0.01685,-0.00378,0.00038,-0.00069,-0.00212,0.00013,
1622812922160945152,-0.00034,-0.00018,-0.00038,0.99984,-0.01714,-0.00443,0.00045,-0.00144,0.00143,-0.00005,
1622812922260859136,-0.00044,-0.00043,-0.00063,0.99984,-0.01721,-0.00390,0.00050,0.00499,-0.00378,-0.00069,
1622812922360816128,-0.00051,-0.00031,-0.00010,0.99985,-0.01711,-0.00381,0.00043,0.00376,-0.00350,0.00147,
1622812922460769536,-0.00049,-0.00028,-0.00005,0.99985,-0.01704,-0.00409,0.00036,-0.00003,0.00179,0.00051,
1622812922560721664,-0.00048,-0.00017,0.00027,0.99985,-0.01697,-0.00371,0.00028,0.00280,-0.00024,0.00041,
1622812922660670464,-0.00031,0.00003,0.00018,0.99985,-0.01681,-0.00389,0.00088,0.00274,0.00037,-0.00056,
1622812922760617984,0.00021,-0.00134,-0.00068,0.99985,-0.01679,-0.00391,0.00168,0.00465,0.00087,-0.00014,
1622812922860562432,0.00223,-0.00173,-0.00116,0.99985,-0.01677,-0.00406,0.00235,0.00256,-0.00273,0.00009,
1622812922960504832,0.00066,-0.00164,-0.00077,0.99985,-0.01662,-0.00400,0.00290,0.00387,-0.00369,-0.00063,
1622812923060444672,0.00199,-0.00222,-0.00101,0.99985,-0.01655,-0.00401,0.00385,0.00407,-0.00039,-0.00012,
1622812923160350464,0.00531,-0.00454,-0.00159,0.99984,-0.01657,-0.00389,0.00461,0.00632,-0.00390,0.00042,
1622812923260308224,0.00350,-0.00329,-0.00124,0.99984,-0.01667,-0.00400,0.00461,0.00475,-0.00801,-0.00090,
1622812923360264704,0.00209,-0.00142,-0.00068,0.99984,-0.01678,-0.00415,0.00457,-0.00070,-0.00109,0.00054,
1622812923460217856,0.00396,-0.00023,-0.00092,0.99984,-0.01672,-0.00428,0.00459,0.00221,-0.00090,-0.00142,
1622812923560169728,0.00315,-0.00071,-0.00075,0.99984,-0.01679,-0.00417,0.00451,0.00170,-0.00160,0.00013,
1622812923660118016,0.00305,-0.00328,-0.00109,0.99984,-0.01694,-0.00432,0.00455,-0.00012,-0.00039,0.00046,
1622812923760065024,0.00360,-0.00452,-0.00159,0.99984,-0.01666,-0.00426,0.00457,0.00234,-0.00599,-0.00212,
1622812923860008960,0.00395,-0.00181,-0.00097,0.99984,-0.01692,-0.00436,0.00449,-0.00215,-0.00028,0.00139,
1622812923959951360,0.00513,-0.00453,-0.00157,0.99984,-0.01684,-0.00431,0.00456,-0.00052,-0.00396,0.00064,
