1619103052961516800,0.32393,-0.01014,0.25684,0.67607,-0.73387,0.06029,0.02718,
1619103053161696000,0.36452,-0.01797,0.27875,0.66616,-0.74246,0.06440,0.02873,
1619103053295079680,0.39381,-0.02293,0.29017,0.65235,-0.75339,0.07556,0.03376,
1619103053461809408,0.42581,-0.03556,0.30366,0.66176,-0.74630,0.06152,0.03629,
1619103053561846272,0.44736,-0.04282,0.31053,0.67108,-0.73716,0.06849,0.03942,
1619103053661884160,0.46730,-0.04619,0.31515,0.66305,-0.74474,0.05654,0.05036,
1619103053795267072,0.48671,-0.05039,0.32082,0.66107,-0.74828,0.03393,0.04384,
1619103053961995008,0.51175,-0.05337,0.32516,0.64867,-0.75943,0.02060,0.04543,
1619103054062023168,0.52657,-0.05527,0.32643,0.64476,-0.76190,0.01581,0.05958,
1619103054262103296,0.55061,-0.05419,0.32847,0.63798,-0.76729,0.00708,0.06476,
1619103054362142720,0.56118,-0.05695,0.32973,0.64685,-0.75888,0.00280,0.07536,
1619103054462183168,0.56956,-0.05638,0.32985,0.65723,-0.74955,0.00110,0.07892,
1619103054662263040,0.58321,-0.04006,0.33317,0.66191,-0.74240,-0.00601,0.10337,
1619103054895687936,0.59177,-0.00547,0.33864,0.66770,-0.73738,-0.01840,0.10054,
1619103054962381056,0.59147,0.00575,0.33951,0.66779,-0.73910,-0.02130,0.08558,
1619103055062422784,0.59160,0.02235,0.34379,0.68358,-0.72720,-0.02341,0.05794,
1619103055162461184,0.59255,0.04182,0.34735,0.69286,-0.71911,-0.02546,0.04660,
1619103055395885312,0.58732,0.08011,0.34870,0.69341,-0.71766,-0.04196,0.04893,
1619103055662654720,0.59263,0.12761,0.35013,0.68611,-0.72318,-0.05675,0.05516,
1619103055796038912,0.60119,0.15950,0.34793,0.68238,-0.72757,-0.05143,0.04845,
1619103055962768896,0.62028,0.20540,0.34777,0.69421,-0.71535,-0.06093,0.05137,
1619103056062713600,0.63471,0.23614,0.34801,0.69607,-0.71169,-0.07277,0.06067,
1619103056196137984,0.65338,0.27602,0.34798,0.70639,-0.69984,-0.08822,0.05874,
1619103056396276480,0.67605,0.33609,0.34833,0.70415,-0.69658,-0.11215,0.07987,
1619103056462989824,0.68065,0.35335,0.34727,0.70271,-0.69585,-0.11859,0.08902,
1619103056863274496,0.69272,0.49207,0.34943,0.70162,-0.69633,-0.11652,0.09638,
1619103057096863488,0.68759,0.58563,0.35981,0.70970,-0.69006,-0.11041,0.08922,
1619103057263601664,0.67906,0.65078,0.36248,0.71348,-0.68884,-0.10277,0.07673,
1619103057497034240,0.66652,0.72688,0.36317,0.70797,-0.69438,-0.09492,0.08721,
1619103057663773184,0.65489,0.77749,0.36115,0.70686,-0.69310,-0.10359,0.09602,
1619103057763815424,0.64798,0.81228,0.35910,0.70056,-0.69678,-0.11357,0.10398,
1619103057897206016,0.64282,0.86150,0.35859,0.69838,-0.69432,-0.12213,0.12353,
1619103058030596608,0.63923,0.91367,0.35969,0.69568,-0.69133,-0.13744,0.13856,
1619103058161783808,0.63378,0.96215,0.36135,0.69369,-0.68584,-0.15744,0.15374,
1619103058262531072,0.62567,0.99846,0.35942,0.68602,-0.68393,-0.17573,0.17532,
1619103058363291136,0.61486,1.02971,0.35515,0.68047,-0.68708,-0.18552,0.17453,
1619103058497661184,0.60379,1.07447,0.35135,0.68115,-0.68962,-0.17575,0.17194,
1619103058665659392,0.58598,1.14126,0.34897,0.68406,-0.69505,-0.15859,0.15432,
1619103058766476288,0.57207,1.18209,0.34831,0.68709,-0.70057,-0.14077,0.13146,
1619103058900921600,0.55161,1.23399,0.34930,0.68829,-0.70965,-0.10547,0.10737,
1619103058968153600,0.53922,1.25764,0.34968,0.69161,-0.70876,-0.09663,0.09996,
1619103059069014016,0.52222,1.28952,0.34964,0.69662,-0.70564,-0.08936,0.09382,
1619103059203515904,0.50348,1.33318,0.34816,0.69390,-0.71078,-0.07992,0.08311,
1619103059371268864,0.48282,1.39047,0.34448,0.68963,-0.71642,-0.07379,0.07547,
1619103059572715264,0.46316,1.46767,0.34322,0.69027,-0.71533,-0.07211,0.08141,
1619103059673458176,0.45207,1.50999,0.34373,0.69158,-0.71157,-0.08316,0.09202,
1619103059807800576,0.43076,1.56581,0.34804,0.68420,-0.71264,-0.11203,0.10706,
1619103059908571392,0.41509,1.60172,0.35301,0.68658,-0.70383,-0.13288,0.12477,
1619103059975759872,0.40519,1.62365,0.35527,0.68430,-0.70012,-0.14530,0.14302,
1619103060110152704,0.37661,1.66092,0.35342,0.67714,-0.69769,-0.16687,0.16390,
1619103060177357568,0.36269,1.67579,0.35228,0.67155,-0.69607,-0.17924,0.17994,
1619103060281007104,0.33769,1.69897,0.34992,0.66663,-0.69041,-0.19807,0.19927,
1619103060380905984,0.31043,1.71881,0.34830,0.65940,-0.68606,-0.21883,0.21593,
1619103060514098944,0.27232,1.74216,0.35006,0.66165,-0.67190,-0.23148,0.23914,
1619103060580692736,0.25106,1.75157,0.35197,0.65635,-0.66894,-0.23983,0.25340,
1619103060680580864,0.21845,1.76355,0.35478,0.65079,-0.66204,-0.25395,0.27145,
